"Database","Pathway","Comparison","N_Comparisons","Recurrence"
"GO-BP","activation of innate immune response","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","antiviral innate immune response","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","cellular response to dsRNA","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","cellular response to exogenous dsRNA","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","cellular response to type I interferon","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","cytoplasmic pattern recognition receptor signaling pathway","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","defense response to bacterium","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","defense response to fungus","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","defense response to Gram-positive bacterium","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","defense response to virus","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","innate immune response-activating signaling pathway","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","innate immune response in mucosa","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","interferon-beta production","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","interferon-mediated signaling pathway","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","interleukin-27-mediated signaling pathway","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","intracellular receptor signaling pathway","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","leukocyte mediated immunity","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","MDA-5 signaling pathway","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","mucosal immune response","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","negative regulation of cytokine production","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","negative regulation of defense response","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","negative regulation of immune response","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
